File,Confidence,Reasons,Blockers
src\index.ts,95%,Duplicate of src\path.ts,
src\main.tsx,95%,Duplicate of src\path.ts,
src\monaco-editor.ts,95%,Duplicate of src\path.ts,
src\react.ts,95%,Duplicate of src\path.ts,
src\vite.ts,95%,Duplicate of src\path.ts,
src\components\LoadingScreen.tsx,95%,Duplicate of src\path.ts,
src\components\app\AppProvider.tsx,95%,Duplicate of src\path.ts,
src\components\chat\ChatWelcome.tsx,95%,Duplicate of src\path.ts,
src\components\editor\EditorBranding.tsx,95%,Duplicate of src\path.ts,
src\components\features\DebuggingTools.tsx,95%,Duplicate of src\path.ts,
src\components\features\EnhancedSettingsModal.tsx,95%,Duplicate of src\path.ts,
src\components\features\IntegratedTerminal.tsx,95%,Duplicate of src\path.ts,
src\components\layout\ProjectTree.tsx,95%,Duplicate of src\path.ts,
src\components\layout\TitleBar.tsx,95%,Duplicate of src\path.ts,
src\components\modals\ConfirmDialog.tsx,95%,Duplicate of src\path.ts,
src\components\modals\PromptDialog.tsx,95%,Duplicate of src\path.ts,
src\components\panels\CodeMetricsPanel.tsx,95%,Duplicate of src\path.ts,
src\components\panels\EmptyFilePreview.tsx,95%,Duplicate of src\path.ts,
src\components\panels\EnhancedErrorDisplay.tsx,95%,Duplicate of src\path.ts,
src\components\panels\PerformanceMetrics.tsx,95%,Duplicate of src\path.ts,
src\components\panels\SystemStatusDashboard.tsx,95%,Duplicate of src\path.ts,
src\components\ribbon\AISettingsTab.tsx,95%,Duplicate of src\path.ts,
src\components\ribbon\ribbonModals.ts,95%,Duplicate of src\path.ts,
src\components\sidebar\file-tree\FileTreeTypes.ts,95%,Duplicate of src\path.ts,
src\components\ui\accessibility.tsx,95%,Duplicate of src\path.ts,
src\components\ui\AccessibilityChecker.tsx,95%,Duplicate of src\path.ts,
src\components\ui\EventBus.tsx,95%,Duplicate of src\path.ts,
src\components\ui\HelpSystem.tsx,95%,Duplicate of src\path.ts,
src\components\ui\Icons.tsx,95%,Duplicate of src\path.ts,
src\components\ui\KeyboardShortcuts.tsx,95%,Duplicate of src\path.ts,
src\components\ui\primitives.tsx,95%,Duplicate of src\path.ts,
src\components\welcome\WelcomeScreen.tsx,95%,Duplicate of src\path.ts,
src\config\config.ts,95%,Duplicate of src\path.ts,
src\config\index.ts,95%,Duplicate of src\path.ts,
src\contexts\AppStateContext.tsx,95%,Duplicate of src\path.ts,
src\contexts\ModalContext.tsx,95%,Duplicate of src\path.ts,
src\features\index.ts,95%,Duplicate of src\path.ts,
src\features\PreviewPane.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AgentCollaboration.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AgentReasoning.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AgentSelector.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISettingsHub.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AISuggestions.tsx,95%,Duplicate of src\path.ts,
src\features\ai\AutonomousModeControl.tsx,95%,Duplicate of src\path.ts,
src\features\ai\EnhancedSettingsPanel.tsx,95%,Duplicate of src\path.ts,
src\features\ai\index.ts,95%,Duplicate of src\path.ts,
src\features\ai\LocalAISettings.tsx,95%,Duplicate of src\path.ts,
src\features\ai\McpConnectionStatus.tsx,95%,Duplicate of src\path.ts,
